ID,Name,Content,Page_URL,Image_URL,Category,Annual_fee,Form
1,EV카드,전기차 이용자라면 꼭 필요한!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00230,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00230_img.png,적립/할인,20000.0,"적립,할인"
2,캐시노트 KB 국민카드,캐시노트 월정액과 사업지원 할인을 동시에,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04291_img.png,적립/할인,20000.0,"적립,할인"
3,WE:SH Travel,외화 충전·환전 없이 우대 환율로 결제되는,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09561,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09561_img.png,"적립/할인,여행,쇼핑",25000.0,"적립,할인"
4,CU KB국민카드,CU 할인! 한번에 빠르게 쉽게~,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09060,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09060_img.png,"적립/할인,쇼핑",20000.0,"적립,할인"
5,K-패스카드,교통비 SAVE!! 생활서비스 할인 혜택까지~,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09321,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09321_img.png,적립/할인,8000.0,"적립,할인"
6,WE:SH All 카드,Simple Life를 위한 모두의 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09122,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09122_img.png,적립/할인,20000.0,"적립,할인"
7,My WE:SH 카드,나'의 행복을 위한 필수 혜택 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09123,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09123_img.png,"적립/할인,음식",15000.0,"적립,할인"
8,Our WE:SH 카드,함께 사는 '우리'를 위한 필수 카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09124,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09124_img.png,"적립/할인,음식",15000.0,"적립,할인"
9,American Express Blue Card,매일 쓰는 영역 할인으로 내 생활에 착붙!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09115,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09115_img.png,"적립/할인,쇼핑,주유/충전",19000.0,"적립,할인"
10,American Express Rose Gold Card,KB Pay와 만나는 장밋빛 할인 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09116,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09116_img.png,"적립/할인,여행,쇼핑",19000.0,"적립,할인"
