ID,Name,Content,Page_URL,Image_URL,Category
24,해피리워드 체크카드,My Happy Reward Check Card,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09636,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09636_img.png,음식/통신
25,해피CU포인트 체크카드,해피포인트 가맹점과 CU편의점 어디에서나 1+1%,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01754,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01754_img.png,음식/통신
26,Liiv M 체크카드,Liiv M 고객을 위한 스마트한 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01772,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01772_img.png,음식/통신
27,LG U＋   체크카드,LG U   고객을 위한 스마트한 할인혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01990,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01990_img.png,음식/통신
28,H.Point 체크카드,KB국민 체크카드를 만나 더 강해진 현대백화점그룹 멤버십 혜택,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04906,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04906_img.png,쇼핑/주유
29,정 체크카드,"현명한 쇼핑, 자신을 가꿀 줄 아는 센스 있는 여성을 위한 할인 혜택",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01928,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01928_img.png,쇼핑/주유
30,스타체크카드,"별처럼 빛나는 다양한 혜택들, 당신이 머무는 곳마다 눈부신 할인 혜택",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01552,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01552_img.png,쇼핑/주유
31,쏘영 체크카드,엄마카드 말고 내카드로 딱 맞는 할인,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01570,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01570_img.png,교육/의료
32,샘 쏘영 체크카드,엄마카드 말고 내카드로 딱 맞는 할인,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01574,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01574_img.png,교육/의료
33,훈 체크카드,건강한 삶과 더 나은 미래를 꿈꾸는 20~30대를 위한 의료/교육 특화 체크카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01930,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01930_img.png,교육/의료
